candle_24h,nb,V,V_EUR,Pmin,PQ1,Pmed,PQ3,Pmax,P_open,P_close,return
16518,3765,3518.5991605800014,0.0,226.0,229.18,231.25997999999998,238.02322999999998,244.67,243.83,227.06827,-0.06874350982241725
16519,2859,3565.3445502200098,0.0,218.5216,224.67508999999998,226.0,227.079045,229.9,228.25214,226.95,-0.005704831507822921
16520,2651,2958.699289760006,0.0,223.99,228.965,230.5,232.85757,235.31,226.84,229.01969,0.009608931405395845
16521,1697,1706.9308583099992,0.0,226.66008,228.51,229.2,230.0,231.75,229.91,227.3,-0.011352268278891676
16522,1246,1329.0472600599976,0.0,227.33,232.031525,232.665015,233.005655,234.9,227.6,232.8,0.022847100175747
16523,1798,1656.5402925199976,0.0,220.62743,224.33,226.173525,227.1700975,232.79,232.79,224.08,-0.03741569655053903
16524,2644,2841.3673740699883,0.0,220.01,227.16999500000003,228.0415,229.06175,232.0,223.90485,229.15,0.023425798949866402
16525,1992,2317.2446307599985,0.0,226.10002000000003,227.78,228.38998,229.54072000000002,231.588,229.57,227.97,-0.006969551770701722
16526,2619,3345.3959860500045,0.0,223.82447,226.25,227.01,227.98108,230.0,228.49,229.48782000000003,0.0043670182502517346
16527,2252,2538.9257502499945,0.0,226.85,228.24098999999998,229.74699500000003,231.9999225,235.0,229.41777,233.0331,0.015758718254475106
16528,2025,2518.689760060005,0.0,229.65412,231.4814,232.35,233.83415,236.18998,233.32,231.59218,-0.007405366020915518
16529,999,1015.2487124499983,0.0,227.90146,230.0,230.43999,231.60674500000002,232.88,231.58,231.66347,0.00036043699801366905
16530,861,954.0502938799997,0.0,230.18099999999998,232.95,234.33,235.23252,236.3,231.72002,235.32,0.015535904062152196
16531,1210,1006.7129672000003,0.0,229.94,232.0,233.07,233.8597,236.62,235.38,231.12831,-0.018063089472342583
16532,2315,2254.990074409995,0.0,228.22799999999998,231.63367,232.85902,233.999995,235.49,231.12831,232.05138,0.00399375567623021
16533,2644,3663.2402606500023,0.0,225.1,227.05,227.908155,229.9390175,234.98138,232.00138,226.90756,-0.02195599008936915
