candle_24h,PQ1,PQ3,pClose,previousClose,Pmax,Pmed,Pmin,V,V_EUR,nb,return,previousV,returnV
16816,336.97998999999993,346.08841,358.915,333.64,361.89999,340.80885,324.5,17396.11921096,,9499.0,0.07575530511929036,21199.70921760011,-0.21864589225416142
16817,354.0494325,356.37250250000005,350.01,358.915,361.87,355.27001,348.78,5653.939225580017,,3932.0,-0.02481088837189872,17396.11921096,-2.076813972858967
16818,352.01,356.57605,357.26,350.01,358.5,354.51,344.61001,6056.429171920075,,6019.0,0.02071369389446016,5653.939225580017,0.06645664217558352
16819,350.7009175,355.67805249999986,348.64414,357.26,358.3,354.20001,347.0,4821.887590030027,,4322.0,-0.02411649778872529,6056.429171920075,-0.25602869391701427
16820,363.11025000000006,379.2777975,385.99011,348.64414,393.3,373.99899,345.0,15130.63680208998,,9238.0,0.10711773328529206,4821.887590030027,0.681316282116825
16821,378.675585,384.0,379.0,385.99011,390.14,381.774,373.0,8440.142718520177,,6266.0,-0.01810955726300867,15130.63680208998,-0.7926991647770214
16822,355.411,366.82800000000003,356.30001,379.0,379.62999,363.0,347.23,10206.329435310201,,8003.0,-0.05989443271767814,8440.142718520177,0.17304817838621372
16823,358.8115925,363.00963,358.29,356.30001,368.42,361.56547,353.68952,7767.878061790166,,7546.0,0.005585152804233809,10206.329435310201,-0.3139147337436546
16824,361.85008999999997,373.0,372.54,358.29,376.71533,370.83738,358.29,6456.090696020142,,7921.0,0.039772251528091766,7767.878061790166,-0.20318601883624024
16825,362.62542,369.02,363.26677,372.54,372.56,365.948995,358.985,6868.5541880801065,,7396.0,-0.02489190422504969,6456.090696020142,0.06005099192138079
16826,363.6218725,366.00132,365.36,363.26677,369.56999,364.535335,361.25,3910.142354679976,,6006.0,0.005762239139021731,6868.5541880801065,-0.7565995212065011
16827,363.91999,364.9999,365.0,365.36,366.99,364.4899,361.99,3957.613989870005,,5378.0,-0.0009853295379899651,3910.142354679976,0.011995013993668464
16828,351.0,353.53469,349.88728,365.0,364.95799,352.42,346.26936,6101.814122730279,,7513.0,-0.04140471232876719,3957.613989870005,0.3514037120325855
16829,344.55897999999996,351.63749,350.46927,349.88728,357.0,348.569905,333.97866,8101.889068420163,,10174.0,0.0016633642697728792,6101.814122730279,0.24686525929932174
16830,349.37474,350.55555,349.49,350.46927,351.99,349.99998999999997,347.2711,2015.7675859099893,,3612.0,-0.0027941679451667346,8101.889068420163,-3.019257539932453
16831,349.32,350.48466,342.01,349.49,351.68733,350.0,341.5,2482.5611014199985,,4949.0,-0.02140261523934882,2015.7675859099893,0.18802901376445813
16832,342.7082,346.4999,342.36572,342.01,350.0,344.97478,340.40001,5122.524242810055,,7273.0,0.0010400865471770398,2482.5611014199985,0.5153637184041624
16833,342.3833,343.5,343.23,342.36572,344.99,342.99,339.911,4465.345433120012,,4659.0,0.002524434981399446,5122.524242810055,-0.14717311785459358
16834,335.0,341.6371,334.59,343.23,343.6,337.333,332.911,5237.551548930066,,5605.0,-0.02517262477056214,4465.345433120012,0.14743647076233576
16835,336.89966,345.79,347.86,334.59,351.0,343.47,333.90847,6947.788138530161,,5780.0,0.039660479990436176,5237.551548930066,0.24615554698849867
16836,346.15167,348.49965,346.28,347.86,350.0,347.15338000000014,343.1978299999999,5092.525723250029,,5004.0,-0.004542057149428048,6947.788138530161,-0.36431085793241924
16837,335.60903,337.73,336.99944,346.28,346.2,336.64,330.22,4685.884477490061,,4771.0,-0.026800739286126782,5092.525723250029,-0.08678004071875471
16838,335.20863749999995,338.45846,335.03,336.99944,341.77135,336.93384,332.8332,4037.22423136005,,4988.0,-0.005844045319481896,4685.884477490061,-0.16066985853582172
16839,335.1894575,338.2901,332.31,335.03,340.0,337.0,330.04223,5228.1726485400895,,7286.0,-0.00811867593946802,4037.22423136005,0.2277943934220686
16840,332.0,334.35,331.8936,332.31,336.5,332.78,330.45,6936.291630350128,,8031.0,-0.0012530468538413232,5228.1726485400895,0.2462582418443984
16841,335.48,338.4945,336.999,331.8936,343.25,336.99,330.84379,9442.59070052033,,11339.0,0.01538264070171896,6936.291630350128,0.2654249400042399
16842,331.51931,335.4,333.05,336.999,340.63063,333.25,327.45688,9335.630992980292,,10667.0,-0.011718135662123664,9442.59070052033,-0.011457148169252165
16843,335.24516,338.43362,339.98288,333.05,339.98288,337.28799,332.00581,7643.671256510072,,9221.0,0.02081633388380109,9335.630992980292,-0.22135433088245215
16844,343.14258,344.8735425,345.98,339.98288,347.0,344.12002,339.37545,6460.822074990045,,9336.0,0.017639476434813582,7643.671256510072,-0.18308029037030096
16845,350.9551,355.38,361.15317999999996,345.98,361.65488,353.3044,346.139,7113.088124650129,,8737.0,0.04385565639632349,6460.822074990045,0.09169941918752308
16846,356.51,359.01,356.62,361.15317999999996,364.46999,358.18134,352.15,6825.4229442003125,,9980.0,-0.012551959254519136,7113.088124650129,-0.042146132598896505
16847,359.02001,364.96,364.44213,356.62,367.22281,363.14789,355.4501,6404.194262570098,,9693.0,0.021934075486512137,6825.4229442003125,-0.06577387636288996
16848,368.99999,374.5,371.97,364.44213,377.5,372.19173,362.211,8518.562604690185,,11393.0,0.020655872031041158,6404.194262570098,0.24820717299840586
16849,376.0,379.195,378.95,371.97,382.59689,378.0,370.5,6988.316479710164,,10174.0,0.018764954162970027,8518.562604690185,-0.21897206994315857
16850,375.28001,377.8401,375.31986,378.95,379.68,376.56949,371.67,4790.881734230067,,5637.0,-0.009579469587016713,6988.316479710164,-0.45867021299644783
16851,385.111,393.5,392.0,375.31986,397.871,387.99,375.25542,8365.104825740284,,8373.0,0.044442465687800255,4790.881734230067,0.4272777408015218
16852,385.93948,392.8882675,389.0,392.0,400.0,390.0,380.0,11442.9108562407,,10906.0,-0.007653061224489796,8365.104825740284,0.26897055034050643
16853,384.011,391.79,393.88912999999997,389.0,395.0,389.0,377.111,9478.908675220906,,15702.0,0.012568457583547616,11442.9108562407,-0.20719707809338325
16854,381.0,390.2,380.54,393.88912999999997,395.6,382.51,376.63729,8175.013799810271,,11571.0,-0.03389057727995693,9478.908675220906,-0.15949757484701693
16855,380.0,383.831005,385.0652,380.54,385.75539,382.6661,373.122,6126.108139470151,,7095.0,0.01189152257318543,8175.013799810271,-0.33445470006302075
16856,382.511,383.84,383.71039,385.0652,387.98,383.24188,378.1,5366.806083550081,,7434.0,-0.003518391171157473,6126.108139470151,-0.1414811796996773
16857,384.03,387.5,395.5961,383.71039,395.5961,386.2,378.50001000000003,5835.0348397200805,,6751.0,0.03097573146247085,5366.806083550081,0.08024438054468609
16858,392.6,394.7148075,393.28733,395.5961,397.48845,393.285,391.001,3811.550229280043,,3806.0,-0.005836179881449745,5835.0348397200805,-0.5308823152573934
16859,386.9,393.15,391.27999,393.28733,395.4,391.0,383.15022,4166.956683980083,,5403.0,-0.005104003731826293,3811.550229280043,0.08529161247737574
16860,395.611,398.85181,398.96287,391.27999,399.99,397.611,389.911,4895.388636070141,,6879.0,0.01963524891727791,4166.956683980083,0.14879961658668628
16861,395.611,397.86,395.8,398.96287,399.833,396.91,391.78,5942.877811620142,,7610.0,-0.007927730217100148,4895.388636070141,0.17625958479271436
16862,393.51,395.811,387.066,395.8,397.96,394.6,386.559,6199.502177050068,,7329.0,-0.02206670035371409,5942.877811620142,0.04139435040121827
16863,384.941,387.95,384.15,387.066,390.0,386.5,381.0,11009.281625050151,,10000.0,-0.00753359892111422,6199.502177050068,0.43688404128531616
16864,375.82225,384.6045,371.152,384.15,387.499,381.927,369.469,9848.724638930136,,9310.0,-0.03383574124690874,11009.281625050151,-0.11783830177691774
16865,360.26,368.0,358.13,371.152,371.699,362.76800000000003,352.78,13393.693736750332,,12662.0,-0.03508535586498252,9848.724638930136,0.2646744928990963
16866,360.908,369.42,365.6,358.13,371.88,366.965,354.0,7945.8059946001395,,8213.0,0.02085834752743425,13393.693736750332,-0.6856306013326404
16867,369.9,373.69300000000004,373.548,365.6,375.83,372.282,363.43,9395.099564130069,,8457.0,0.0217396061269146,7945.8059946001395,0.1542605865576184
16868,372.0,373.43,373.79,373.548,376.0,372.57,369.73,6949.3626068800695,,6473.0,0.0006478417766927374,9395.099564130069,-0.35193687473274876
16869,372.991,374.88,374.9,373.79,375.99,374.0,371.079,6613.814373840016,,6075.0,0.0029695818507717076,6949.3626068800695,-0.05073444975523747
16870,372.718,375.49699999999996,372.22,374.9,381.0,374.19,371.4,8515.63586009012,,7813.0,-0.007148572952787277,6613.814373840016,0.2233328805384097
16871,376.61,379.176,376.49,372.22,381.5,377.785,371.616,6416.093218730052,,6406.0,0.011471710278867286,8515.63586009012,-0.3272306947210524
16872,366.13,370.124,366.0,376.49,377.975,368.86,363.205,8221.778124360138,,9057.0,-0.02786262583335549,6416.093218730052,0.219622188572574
16873,367.119,368.7185,368.044,366.0,372.0,367.827,365.755,5883.387998370022,,6047.0,0.005584699453552021,8221.778124360138,-0.39745638510293085
16874,370.1,372.44,373.51,368.044,374.5,371.849,367.002,7896.197837550136,,8602.0,0.014851485148514715,5883.387998370022,0.2549087396985238
16875,373.74625000000015,374.919,373.3,373.51,376.049,374.2855,371.911,7967.380213920074,,7792.0,-0.0005622339428662675,7896.197837550136,0.008934226114322177
16876,372.99,374.9845,372.65,373.3,375.99,373.849,371.311,7351.9103601400475,,6571.0,-0.0017412268952585964,7967.380213920074,-0.08371563629460556
16877,371.73,373.0,371.48900000000003,372.65,375.0,372.212,370.13,8314.782052810126,,7915.0,-0.003115523950087217,7351.9103601400475,0.1158023970507632
16878,363.838,369.0,363.0,371.48900000000003,372.838,367.3,359.001,10637.727735090106,,10236.0,-0.022851282272153352,8314.782052810126,0.21836859714104198
16879,361.99800000000016,363.67199999999997,364.717,363.0,365.494,362.83,359.58,4657.055690850062,,5273.0,0.004730027548209324,10637.727735090106,-1.2842174200301175
16880,365.344,366.597,365.154,364.717,367.77,365.98,363.36300000000006,3524.939574930012,,3527.0,0.0011981892810042085,4657.055690850062,-0.32117319796681293
16881,363.50075,366.0,367.49,365.154,367.99,364.789,361.615,5595.847774180029,,6044.0,0.006397300864840623,3524.939574930012,0.3700794379728229
16882,370.55,371.68,371.119,367.49,372.9,371.17900000000003,366.0,5733.1034894000195,,5329.0,0.009875098642139974,5595.847774180029,0.023940910097604868
16883,371.38,372.574,372.5,371.119,374.26199999999994,371.898,369.769,4910.605739450017,,4667.0,0.0037211783821361117,5733.1034894000195,-0.16749415318406763
16884,372.26,373.42,371.577,372.5,375.0,372.806,370.5,6457.021474390022,,5541.0,-0.002477852348993293,4910.605739450017,0.2394936645438509
16885,372.64,373.69,372.79,371.577,374.21,373.301,370.275,4021.010320150027,,4095.0,0.003264464700452456,6457.021474390022,-0.6058206670181105
16886,373.48699999999997,374.13,373.89099999999996,372.79,375.5,373.83099999999996,372.53,3659.970347500015,,2301.0,0.002953405402505429,4021.010320150027,-0.09864560047504874
16887,376.0,383.655,381.501,373.89099999999996,385.991,381.95,373.00199999999995,4259.356221790042,,3622.0,0.0203535254927237,3659.970347500015,0.14072217562449565
16888,377.5,381.001,377.07,381.501,382.99,378.466,376.043,5488.69395265005,,4825.0,-0.011614648454394572,4259.356221790042,0.2239763669582014
16889,368.34,374.70225,368.83,377.07,379.789,369.711,364.0,5776.157116200115,,5988.0,-0.02185270639403827,5488.69395265005,0.04976719950082906
16890,364.76,366.3725000000002,365.81,368.83,369.319,365.73,362.0,5846.963351460096,,5346.0,-0.008188054117072857,5776.157116200115,0.01210991603740772
16891,366.3,367.989,367.341,365.81,369.859,367.23,364.0,8237.674630920088,,6056.0,0.004185232771110703,5846.963351460096,0.29021676462996776
16892,366.85,367.65925,367.835,367.341,369.528,367.1615,365.567,3536.7265516700177,,3142.0,0.001344799518703252,8237.674630920088,-1.32918053193293
16893,369.9,370.85,369.854,367.835,372.2,370.335,367.343,2934.2058625700042,,2529.0,0.0054888740875666045,3536.7265516700177,-0.20534370024476717
16894,368.8997499999999,369.6,369.625,369.854,371.0,369.3,367.476,2252.151911300005,,1820.0,-0.0006191632373856759,2934.2058625700042,-0.3028454465472974
16895,368.461,369.55,369.01,369.625,370.99,368.919,366.323,5764.751454920037,,4540.0,-0.001663848495096406,2252.151911300005,0.6093236752856251
16896,371.37,371.922,372.47,369.01,372.989,371.6,368.32,5339.061080850048,,4434.0,0.009376439662881864,5764.751454920037,-0.0797313174776816
16897,371.56,372.939,371.15,372.47,373.99,372.46,370.255,5917.6589953900375,,4679.0,-0.003543909576610331,5339.061080850048,0.09777479827592767
16898,370.71025,371.827,371.566,371.15,372.99,371.172,367.41,5451.285315890049,,3990.0,0.0011208406304728461,5917.6589953900375,-0.08555297557817193
16899,371.339,373.19875,368.402,371.566,374.47,372.8175,366.72,5482.154853290049,,5586.0,-0.008515310873438332,5451.285315890049,0.005630913067235582
16900,366.8,367.787,367.54,368.402,369.017,367.326,364.3,3324.046126070008,,3441.0,-0.002339835288624835,5482.154853290049,-0.649241510307065
16901,368.972,370.07,369.196,367.54,371.98,369.701,366.751,4034.389614620006,,3985.0,0.004505632040049924,3324.046126070008,0.17607210914281124
16902,369.971,370.821,370.5,369.196,371.398,370.34,368.397,5154.203306630064,,4520.0,0.00353199926326404,4034.389614620006,0.21726222762101668
16903,372.93675,374.822,374.15,370.5,375.889,373.812,370.75,5599.3269503300635,,5972.0,0.00985155195681505,5154.203306630064,0.07949591935755083
16904,374.07975,375.8,375.96,374.15,377.0,374.7405,372.378,7181.039396510075,,6006.0,0.004837631965789129,5599.3269503300635,0.22026232678081537
16905,376.227,376.99,377.557,375.96,377.98800000000006,376.664,374.932,3849.231282489996,,4310.0,0.004247792318331684,7181.039396510075,-0.8655775321104618
16906,378.8,380.8,381.0,377.557,381.892,379.91,377.18,5100.878169779999,,4327.0,0.009119152869633038,3849.231282489996,0.24537870649515756
16907,381.01300000000003,382.9,380.75,381.0,384.271,381.6,379.364,2582.839400129997,,2839.0,-0.0006561679790026247,5100.878169779999,-0.9749110879767693
16908,377.411,379.42800000000005,378.513,380.75,381.86300000000006,378.472,375.255,2788.2169070400128,,3789.0,-0.005875246224556707,2582.839400129997,0.07365908527111172
16909,377.77,379.511,378.99,378.513,380.89,378.077,377.0,3879.5090138000096,,4465.0,0.0012601944979432026,2788.2169070400128,0.28129644830778927
16910,377.792,379.305,383.76,378.99,384.66,378.187,376.49800000000016,4415.27439734002,,4182.0,0.012586084065542577,3879.5090138000096,0.12134362110377153
16911,384.0,390.09,390.6,383.76,393.0,385.508,382.5,6279.410901180072,,5666.0,0.01782363977485937,4415.27439734002,0.29686487047530685
16912,391.49,396.41,399.0,390.6,399.9,392.7,388.12,5582.095624230149,,6219.0,0.02150537634408596,6279.410901180072,-0.12491998057559121
16913,395.2,397.3,396.833,399.0,399.0,396.369,392.7,3648.682758340021,,4569.0,-0.005431077694235522,5582.095624230149,-0.5298933872699144
16914,397.37,399.111,401.16,396.833,402.92,398.71,395.1,2784.8599938500456,,3512.0,0.010903831082596451,3648.682758340021,-0.31018534734155434
16915,402.04925,407.5975,409.0,401.16,410.794,404.088,398.464,5165.051869620153,,5394.0,0.0195433243593578,2784.8599938500456,0.46082632582451705
