candle_24h,nbTrans,volume,fee
15754,50374,1236821.96972702,0.2800558801242236
15755,54519,1456405.9595389005,0.2918878840251573
15756,59748,1200831.6777604995,0.2586620996373058
15757,55916,1050131.20155191,0.29255912630681835
15758,62171,1578721.3324277813,0.3132424372941176
15759,57886,1283683.5868593405,0.2937804393902439
15760,57164,1707485.582720669,0.28862171461538455
15761,67144,1869807.1719806208,0.32660268622549027
15762,63438,1633163.9133902804,0.3429001360843372
15763,60949,1537173.6201868493,0.2825983732642487
15764,63021,1485857.8408110612,0.3613829329761903
15765,64535,1647857.63740174,0.447422846776316
15766,55825,1496205.8392943894,0.35285682703448257
15767,54459,934113.4728115299,0.2793113998136647
15768,64044,979042.0445304299,0.3085964063128491
15769,56868,1938816.934615141,0.3697105450359711
15770,62760,2323920.5660987697,1.014632063354839
15771,66770,1659536.9891012902,0.38540778637500006
15772,55857,1209131.414978501,0.29763496237500014
15773,55546,1024157.1787966,0.30837775810650897
15774,73844,1241733.7335769702,0.33498264289617485
15775,59289,1007494.5240776495,0.3043841009756098
15776,48484,1491939.3832060897,0.4937007350370372
15777,56690,1505965.8431692105,0.3356460401273885
15778,58069,1188984.0128572907,0.29381788659217883
15779,62776,5346419.926040152,0.37799623883720945
15780,34187,2307843.5278468705,0.17964790891428573
15781,35348,901237.4785814601,0.15166146047846885
15782,43485,3770851.6644202694,0.19911961715789472
15783,46108,1944707.41755042,0.303848944117647
15784,46276,1888210.0754918996,0.17578471161137446
15785,55564,2041885.32310167,0.23215751999999995
15786,60584,1520085.0904457,0.2959471500873362
15787,52914,1438447.3298563813,0.24238480764976952
15788,51335,995637.74768031,0.2149633255026455
15789,48993,1544997.6112032905,0.30812547270833335
15790,49061,1848864.3870634993,0.30022226523178813
15791,53207,2738105.1062303702,0.45825510603053454
15792,60989,1826700.7578184588,0.3342248990163935
15793,62259,1460447.7939021206,0.34896193568965495
15794,59196,1823180.6577932895,0.37039678034682066
15795,43986,1540937.8177047207,0.27132897988165666
15796,52770,1449066.350971951,0.21789282439393937
15797,63276,2588519.047288242,0.33812262834254164
15798,63941,2371324.931584811,0.4044229156571427
15799,66892,2292667.7114630197,0.4954095258441559
15800,61373,2062457.6416251613,0.3622699848101266
15801,51718,1333262.4873776,0.23836221625766865
15802,63541,1089589.6635099098,0.3290198386585367
15803,61680,1528795.79372436,0.2985186847741935
15804,66979,2079535.4701106597,0.2799492813636363
15805,63881,2880396.2602004413,0.33857241607329863
15806,68407,2399992.4660332515,0.3960539862500002
15807,58690,1774103.0002262902,0.3261242323121387
15808,53517,1306301.9448123102,0.24115155371257474
15809,55471,825566.1826316698,0.348876563856209
15810,54496,1049837.7944159396,0.45287674146341456
15811,67785,1769743.0000436604,0.29396595293785305
15812,56706,1723555.4359395702,0.47651893140350876
15813,46631,5846871.99114988,0.2893653119727891
15814,59528,1873867.4811359206,0.40399057496350355
15815,48302,1097718.3723674894,0.300143667922078
15816,44224,983216.8253799604,0.18701146471590918
15817,47194,1649760.8905834095,0.3036951018954249
