candle_24h,nb,V,V_EUR,Pmin,PQ1,Pmed,PQ3,Pmax,P_open,P_close,return
16729,356,83409.60513370992,31222.345535140248,0.36,0.37,0.37601,0.37815,0.417,0.382,0.39123,0.024162303664921503
16730,500,52961.634833289885,24693.272327999282,0.366,0.4200100000000001,0.48844,0.50659,0.595,0.39123,0.50659,0.29486491322240105
16731,286,18283.31861538002,9328.859546905684,0.45,0.4784,0.49,0.54199,0.56999,0.48888,0.48174,-0.01460481099656353
16732,92,4153.25039772,2047.3437305140576,0.4601,0.483215,0.49063999999999997,0.5050775,0.516,0.48362,0.5100100000000001,0.054567635747074315
16733,401,35521.90664009001,20405.484619736417,0.516,0.55972,0.5748,0.60777,0.62,0.516,0.55,0.06589147286821713
16734,381,31572.944424200028,19802.382988393798,0.5100100000000001,0.59895,0.63229,0.64,0.68,0.552,0.66169,0.198713768115942
16735,851,61863.14103615996,46410.944990027136,0.60801,0.72743,0.75,0.774,0.8044899999999999,0.66,0.787,0.1924242424242424
16736,860,71593.64867901,57861.988837508885,0.70101,0.765,0.787,0.8763299999999999,0.97,0.787,0.86929,0.104561626429479
16737,681,46160.693992660046,46024.61507210126,0.86,0.94985,1.03206,1.05,1.09,0.92,1.085,0.17934782608695646
16738,1052,79838.50492812006,82364.62754237307,0.8801,0.9400075,1.02,1.1593924999999998,1.21,1.09,0.945,-0.13302752293577993
16739,383,20066.54808033,16913.842748739487,0.8,0.81889,0.85,0.87165,0.945,0.92401,0.8190000000000001,-0.11364595621259505
16740,359,24043.730057310004,21590.29465948404,0.792,0.88,0.89,0.91,0.9774,0.80343,0.96999,0.20731115342967035
16741,524,30409.694745030003,28723.570179425147,0.86,0.93,0.95599,0.97749,0.99,0.8940100000000001,0.86101,-0.03691233878815677
16742,615,40890.00920759,36935.740357905364,0.84,0.88,0.9,0.93177,0.97,0.8600200000000001,0.90179,0.04856863793865242
16743,791,76884.71484578996,63724.80378826098,0.7069,0.7799,0.82,0.89,0.982,0.90007,0.83998,-0.06676147410756951
16744,246,14866.485440929995,12596.989279323265,0.80098,0.8200049999999999,0.84401,0.87385,0.903,0.83934,0.83504,-0.005123072890604488
16745,546,36372.92708753993,30076.51639777448,0.80111,0.8022199999999999,0.81853,0.8609399999999999,0.91156,0.81655,0.86,0.05321168330169615
16746,517,35692.04750445995,29386.074939598428,0.8,0.81,0.815,0.8499700000000001,0.8799899999999999,0.85654,0.8468899999999999,-0.01126625726761161
16747,354,28297.62126913,25597.223957514434,0.8478100000000001,0.87723,0.8999149999999999,0.9282875,0.95,0.8629100000000001,0.95,0.10092593665619808
16748,1021,82365.24484395,79506.14696960994,0.8634,0.94301,0.967,0.99956,1.02331,0.95,0.92825,-0.0228947368421052
16749,529,55815.18156482004,50460.32214789934,0.86,0.88439,0.915,0.93,0.99487,0.924,0.87064,-0.05774891774891783
16750,900,91819.71312683992,71500.70472992309,0.68265,0.76965,0.8,0.82183,0.8763799999999999,0.872,0.74879,-0.14129587155963308
16751,328,24863.470996339984,20043.009352938003,0.72382,0.7952100000000001,0.815375,0.8338274999999999,0.85,0.74003,0.82701,0.11753577557666588
16752,214,14111.06560305,11499.867116544361,0.79827,0.80711,0.81,0.829125,0.8495799999999999,0.83998,0.8403,0.00038096145146324675
16753,171,24835.906381499986,20763.408084737788,0.81112,0.83604,0.83604,0.83604,0.85569,0.8403,0.82104,-0.022920385576579855
16754,79,4254.688577089999,3592.4729816934473,0.81117,0.83646,0.8452799999999999,0.85,0.86,0.8331799999999999,0.8588100000000001,0.03076166014546695
16755,402,17200.002053880005,14763.148986565458,0.8369200000000001,0.8527600000000001,0.86,0.865,0.8819899999999999,0.8599399999999999,0.8677299999999999,0.009058771542200576
16756,948,59958.15554200994,54998.91846810206,0.84457,0.89,0.9249,0.93,0.9667,0.8619700000000001,0.93,0.07892386045918061
16757,179,16267.08551352,14833.664091215556,0.86,0.8978799999999999,0.918,0.930015,0.95999,0.91957,0.92893,0.010178670465543715
16758,270,19099.76225586002,17111.049754764306,0.8682,0.88,0.8868799999999999,0.91987,0.93999,0.92512,0.88794,-0.0401893808370807
16759,170,16476.487504849993,14427.342054327893,0.85,0.8659974999999999,0.87,0.88,0.895,0.8800100000000001,0.875,-0.005693117123669128
16760,121,10306.65158665,9408.773590363333,0.875,0.875,0.89,0.91014,0.94,0.875,0.9219,0.053600000000000064
16761,137,20873.42237864,19387.163290756904,0.9,0.915,0.915,0.92833,0.94,0.91434,0.91562,0.0013999168799351967
16762,132,7743.793336390004,6956.372399988203,0.89,0.89999,0.89999,0.89999,0.9173,0.90591,0.9,-0.006523826870218864
16763,114,15322.738136500002,13431.329829873403,0.8497600000000001,0.8700025,0.8847200000000001,0.8979600000000001,0.90229,0.89999,0.8497600000000001,-0.055811731241458114
16764,268,31336.446375810014,25887.42946029908,0.8025,0.82,0.82921,0.83978,0.8521200000000001,0.8405,0.82131,-0.022831647828673456
16765,249,34439.75049794002,27631.307812906627,0.75,0.79,0.8038,0.81743,0.8540200000000001,0.8194299999999999,0.84185,0.02736048228646756
16766,86,12523.971513029996,10333.933595553277,0.8,0.82563,0.8312799999999999,0.8411025,0.86,0.83363,0.8318,-0.0021952185022132103
16767,127,10704.50269660999,9103.369729039787,0.8,0.85,0.861,0.86992,0.8799899999999999,0.82445,0.8799899999999999,0.06736612286979189
16768,162,12082.05116835,9993.452978687072,0.81,0.820025,0.8248,0.83281,0.86675,0.86675,0.8248,-0.048399192385347616
16769,248,20421.451291700007,16658.019113683084,0.8058,0.8152474999999999,0.8196200000000001,0.82431,0.84,0.8270799999999999,0.8258,-0.0015476132901290662
16770,305,35375.644088520006,29402.251807485216,0.78819,0.80466,0.81543,0.83,0.92,0.8258,0.8406100000000001,0.017934124485347664
16771,341,27293.36325505001,21711.692196664786,0.778,0.78674,0.79414,0.80257,0.82896,0.828,0.778,-0.06038647342995161
16772,554,36748.173320300004,27867.492698537466,0.72222,0.75,0.755,0.76632,0.8367399999999999,0.778,0.74969,-0.03638817480719802
16773,269,18369.78629233,13748.843181704682,0.73001,0.74131,0.75,0.75063,0.7767,0.74495,0.77662,0.04251292033022347
16774,92,8098.565747269999,6313.040987684936,0.76293,0.7741075,0.78,0.7863625,0.79929,0.77012,0.78596,0.020568223134056984
16775,90,5819.23865592,4600.447946124836,0.7633300000000001,0.77777,0.79067,0.79338,0.80588,0.7925800000000001,0.7633300000000001,-0.03690479194529259
16776,144,9741.9567201,7201.072002570366,0.7276199999999999,0.735445,0.74419,0.75262,0.77387,0.77387,0.7288399999999999,-0.05818806776331945
16777,137,11932.925441340007,8652.48102050429,0.72,0.72001,0.7238899999999999,0.72621,0.7491399999999999,0.73243,0.7491399999999999,0.022814466911513585
16778,211,16064.373337709998,11508.194767441917,0.7090000000000001,0.710005,0.7197399999999999,0.72653,0.743,0.743,0.72,-0.030955585464333805
16779,219,18984.30023666001,14414.844208387925,0.71286,0.74844,0.7665,0.7730600000000001,0.78892,0.71287,0.77045,0.08077209028294073
16780,316,22500.57224985999,17609.047011321778,0.731,0.75,0.7974399999999999,0.8198,0.825,0.78269,0.825,0.05405716183929776
16781,802,68256.56508681992,58953.688145449276,0.81201,0.85,0.8699899999999999,0.8724,0.889,0.82504,0.88,0.06661495200232717
16782,106,17396.250964029994,14989.670985502207,0.84,0.85,0.85,0.88,0.885,0.88,0.8603200000000001,-0.02236363636363628
16783,433,44272.16424447998,39727.849218974414,0.86041,0.895,0.9,0.9,0.91,0.8689,0.89,0.02428357693635632
16784,374,30450.48556349,27657.201956637582,0.88,0.9,0.91,0.911,0.93,0.89,0.91999,0.033696629213483105
16785,76,4928.746048989999,4432.055562103452,0.8871,0.8909925000000001,0.90083,0.90774,0.92,0.90522,0.905,-0.00024303484235876138
16786,273,30601.532183100015,26479.156976724546,0.8365600000000001,0.85,0.86,0.87,0.905,0.89654,0.86087,-0.03978628951301669
16787,133,12411.873847999996,10496.187773725333,0.83219,0.8372299999999999,0.84772,0.8541200000000001,0.86669,0.86001,0.83362,-0.03068568970128257
16788,158,18508.30844241,15237.036160822192,0.82,0.82,0.82,0.825,0.83699,0.8335600000000001,0.8262,-0.008829598349249044
16789,189,20564.124045410008,17429.772428070046,0.82,0.8300200000000001,0.835,0.85,0.8799899999999999,0.8400299999999999,0.82239,-0.020999250026784745
